,searchResult,Product,Rating,Review,User_Name
0,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,4,Beauty & the beast combined.,Soumya Guha Roy
1,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,"superb ,wesome,stylish, powerful ,metal finishing with complete security handset by samsung",deepak pagar nashik
2,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,AWESOME !,Rejo Raju
3,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,Awesome Phone !!,Archita Jalan
4,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,The thinnest Samsung,Arun Nath S
5,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,A MUST KNOW TRUTH BEFORE BUYING SAMSUNG A8!!!,Vimal  S
6,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,Surprise package from Samsung .Excellent Phone,Karthi
7,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,Awsome Phone with finger touch lock and in very good Range,VINIT KUMAR
8,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,good,vidhyashankar murukadas
9,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,4,good super,Sumanth Babu
10,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,4,Beauty & the beast combined.,Soumya Guha Roy
11,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,"superb ,wesome,stylish, powerful ,metal finishing with complete security handset by samsung",deepak pagar nashik
12,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,AWESOME !,Rejo Raju
13,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,Awesome Phone !!,Archita Jalan
14,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,The thinnest Samsung,Arun Nath S
15,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,A MUST KNOW TRUTH BEFORE BUYING SAMSUNG A8!!!,Vimal  S
16,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,Surprise package from Samsung .Excellent Phone,Karthi
17,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,Awsome Phone with finger touch lock and in very good Range,VINIT KUMAR
18,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,5,good,vidhyashankar murukadas
19,"Samsung Galaxy A8 (Gold, 32 GB)  (2 GB RAM)4.21,196 Ratings & 242 Reviews₹25,990",Samsung A8,4,good super,Sumanth Babu
