,searchResult,Product,Rating,Review,User_Name
0,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,"Nice products, very comfortable I like it's thank flipkart team",9774764715 Mohan
1,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Very very good products.this is comfortable for wearing good product.,Manjesh Sharma 
2,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Very good product,Divyanshu Ranjan
3,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,1,not good.. feel pressure on front foot. .not comfrtly,Kalu nath yogi
4,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Very good,Ashish Kumar
5,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Osm shoes and very comfortable,Flipkart Customer
6,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Nice shoes Very cute shoes Important shoesGood shoes,Rahul CHAUDHARI 
7,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Super,Anandhu kannan
8,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,4,At the price of shos id the is best,Saurabh  Yadav
9,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Best soes 💋💋💋😁,aditya  baghel
10,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,"Nice products, very comfortable I like it's thank flipkart team",9774764715 Mohan
11,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Very very good products.this is comfortable for wearing good product.,Manjesh Sharma 
12,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Very good product,Divyanshu Ranjan
13,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,1,not good.. feel pressure on front foot. .not comfrtly,Kalu nath yogi
14,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Very good,Ashish Kumar
15,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Osm shoes and very comfortable,Flipkart Customer
16,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Nice shoes Very cute shoes Important shoesGood shoes,Rahul CHAUDHARI 
17,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Super,Anandhu kannan
18,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,4,At the price of shos id the is best,Saurabh  Yadav
19,"MILESWALKER Running Shoes For Men  (Black)Special price₹379₹99962% off3.85,099 ratings and 739 reviews",sport shoes,5,Best soes 💋💋💋😁,aditya  baghel
